text,rating,product_topic,label_ai_generated
helps when I don't want to use a shaper!,5,real_product,0
"It was everything I hoped it would be, works great and was mailed out quickly. Will use seller again.",5,real_product,0
I received my product broken! Very sad about this! The end of the tube was crushed and the tint was flowing out of it.,1,real_product,0
This is a cute fun way to add to the decor along with help to keep any kind of hair accessory hidden in plain site without creating a messy look. It’s also budget friendly!,5,real_product,0
"I purchased these false eyelashes for myself, in the hopes of stepping up my everyday makeup routine and possibly even rocking a more dramatic look for a night out. Unfortunately, they haven't quite lived up to my expectations - while they look great at first, I've found that they don't stay put for long, causing them to smudge or fall off throughout the day, which can be frustrating and not very convenient. I appreciate the quality of the lash itself, feeling like a soft and comfortable material that doesn't irritate my eyes like some other cheaper alternatives. However, the adhesive is where things fall short, requiring multiple applications to get a good hold even when I'm careful to apply it correctly. I'd say these lashes are a decent option for someone who's not looking for a super long-wearing product, but for me, they're only worth wearing for special occasions when I have some extra time to touch up during the day. Overall, I'd give these lashes 3 out of",3,false eyelashes,1
"This product was very easy to use and left my feet moisturized for much longer than any pedicure. The next day, they still felt moisturized, even after showering.",5,real_product,0
"Got this mainly after reading the detailed reviews here on Amazon.<br />The balm works as specified.<br />I applied it on the balls with gloves and left it for 12 mins, removed it in a gentle message fashion using my fingers, as specified and all the hair came off effortlessly. Took shower, dried myself and applied calm balm immediately. Nothing negative to say for now.",5,real_product,0
Just what I was looking for - cotton hair towels.  All the ones in the stores are microfiber.  These are a great size and weight to twist up your hair after a shower.,5,real_product,0
Love this hair soo much. I couldn't find any ombre braiding hair like this in stores. It matched my real ombre hair perfectly.,5,real_product,0
"These hair styling tools have impressed me more than the Revlon version I've been using for years. The ceramic plates heat up smoothly and evenly, making it easy to achieve salon-quality results at home. The non-slip grip and cool-touch handle provide a comfortable hold, even with prolonged use. The included heat protectant spray is a thoughtful addition - it adds an extra layer of protection for my locks. Overall, this product has exceeded my expectations and become my go-to styling tool.",4,hair styling tools,1
"No se queda en los labios se quita luego luego, after a couple minute with my saliva go all around my mouth my tounge and tooth. Horrible product",1,real_product,0
"This set of Sally Hansen nail polish is perfect for myself, providing a wide range of vibrant colors to match my personal style, and it's also incredibly easy to use. The vibrant colors, high-quality formula, and versatility make it a must-have in my beauty collection, offering a long-lasting finish that I can wear on its own or layer with other polishes.",4,nail polish/press-on nails,1
I guess I wasn't too surprised because of the cost of this heat cap.you have to be very careful not to over heat it in the microwave and it's not quite big enough but it'll work.,3,real_product,0
"I’ve tried 4-5 different kinds of headbands and finally found a wide enough band to keep my ever-growing hair out of my face when I’m exercising that’s also discreet and comfortable. Not only that, but my hair even feels better when I take it off. I immediately ordered another set of these after the first time I used them.",5,real_product,0
"Didn't work at all, it was crap and shouldn't be sold on amazon.  I want my money back but I think that it has been to long to get my money back",1,real_product,0
Didn’t really work the way I wanted it too. I had some dead skin shed off but not a lot. I left it on for an hour (recommended time was 60-90 min) so maybe I should have left it on longer. Not a horrible product for the price but not really worth it,2,real_product,0
"I bought this facial moisturizer for my sister as a birthday gift. She's been struggling with dry skin lately and I thought it might help.  The packaging is nice, a simple and modern design that looks premium. However, it didn't quite live up to my expectations in terms of performance. The moisturizer feels lightweight and non-greasy, but it seems to be lacking in terms of long-term hydration. It sinks in quickly, but I've noticed that her skin often appears dry again within a few hours of application. The fragrance is also a bit overpowering for someone who's sensitive to scents. While it's not terrible, it's something to be aware of if you or your gift recipient have sensitivities. For the price, I would have expected more. Overall, it's an okay product but not worth the money in my opinion. Would recommend for someone with mild skin concerns, but not for someone looking for intensive hydration.",2,facial moisturizer,1
Really like this one I've tried a few different ones it works the best.,5,real_product,0
This little pony looks great. The curls are well designed and the colors matched perfectly. I got the 1b 30 blend. However the comb attachments are very week and does not grip the hair well. You will definitely need to secure this piece with hair pens. My ponytail nearly fell off at an inopportune moment:) can't beat the price so I'll just work with it,3,real_product,0
"Not gonna lie, I was really let down by these hair extensions/wigs. I had high hopes for them, especially since the packaging and the sales pitch made them seem so convincing. But from day one, I encountered some major issues. The quality of the hair was pretty subpar to be honest, it felt cheap and coarse to the touch. The color was off too, it didn't match the picture at all, which was really frustrating. And the application process was a nightmare, it took me hours to get them to look somewhat decent, which defeats the whole purpose of having them in the first place.  I've had to re-apply the bonds multiple times because they kept moving around and it was just so annoying. And don't even get me started on the shed factor - it was like trying to wear a hair factory. I lost huge clumps of hair within the first few weeks of wearing them. Given the fact that I had to deal with all these problems, I think",2,hair extensions/wigs,1
Love it been poking for one like this and I really can’t get enough of it,5,real_product,0
"Purchased for myself to test out as part of a skin care routine. These face masks delivered decent results - they seemed to hydrate my skin fairly well, although the effects weren't long-lasting. Not the most impressive quality, but at this price point, expected nothing extraordinary.",3,face masks,1
