text,rating,product_topic,label_ai_generated
helps when I don't want to use a shaper!,5,real_product,0
"It was everything I hoped it would be, works great and was mailed out quickly. Will use seller again.",5,real_product,0
I received my product broken! Very sad about this! The end of the tube was crushed and the tint was flowing out of it.,1,real_product,0
This is a cute fun way to add to the decor along with help to keep any kind of hair accessory hidden in plain site without creating a messy look. It’s also budget friendly!,5,real_product,0
I'm extremely disappointed with this deodorant it left stains on all of my clothes the scent is also really strong and doesn't last long at all. I've been using it for a week now and I still have to reapply after 6-7 hours. The application is also really messy which made me question my purchase from the start. I've tried other products from this brand before but this one is definitely their worst. Would not recommend to anyone.,1,deodorant,1
"This product was very easy to use and left my feet moisturized for much longer than any pedicure. The next day, they still felt moisturized, even after showering.",5,real_product,0
"Got this mainly after reading the detailed reviews here on Amazon.<br />The balm works as specified.<br />I applied it on the balls with gloves and left it for 12 mins, removed it in a gentle message fashion using my fingers, as specified and all the hair came off effortlessly. Took shower, dried myself and applied calm balm immediately. Nothing negative to say for now.",5,real_product,0
Just what I was looking for - cotton hair towels.  All the ones in the stores are microfiber.  These are a great size and weight to twist up your hair after a shower.,5,real_product,0
Love this hair soo much. I couldn't find any ombre braiding hair like this in stores. It matched my real ombre hair perfectly.,5,real_product,0
"I recently purchased the hot air hair straightener and curling iron combo pack thinking it would be a great time saver but unfortunately it's just been a frustration. The temperatures on the straightener were a bit tricky to control and sometimes would fluctuate even when I turned the dial back to my preferred setting. The curling iron itself seemed like it would produce nice curls but the plates always seemed to be uneven which would make the curls look messy. The tools did include multiple attachments which was a nice feature but the quality of those attachments was poor, the clamp on the straightener attachment was pretty loose and kept falling off at the worst times. The price point for the set was also a bit high considering the quality of the tools was average at best. I ended up returning the straightener as it just wasn't worth the hassle of dealing with its problems but the curling iron has been kept out of frustration I guess.",2,hair styling tools,1
"No se queda en los labios se quita luego luego, after a couple minute with my saliva go all around my mouth my tounge and tooth. Horrible product",1,real_product,0
I was really excited to try these false eyelashes but unfortunately they didn't quite live up to my expectations. The application process was a bit difficult for me and took a lot longer than I expected. The lashes themselves are pretty and look great from afar but when I got up close they started to feel heavy and uncomfortable on my eyes. I found that they were also very prone to clumping and would get tangled easily which made them hard to manage. For the price I expected a lot more quality and durability but was left a bit disappointed.,2,false eyelashes,1
I guess I wasn't too surprised because of the cost of this heat cap.you have to be very careful not to over heat it in the microwave and it's not quite big enough but it'll work.,3,real_product,0
"I’ve tried 4-5 different kinds of headbands and finally found a wide enough band to keep my ever-growing hair out of my face when I’m exercising that’s also discreet and comfortable. Not only that, but my hair even feels better when I take it off. I immediately ordered another set of these after the first time I used them.",5,real_product,0
"Didn't work at all, it was crap and shouldn't be sold on amazon.  I want my money back but I think that it has been to long to get my money back",1,real_product,0
Didn’t really work the way I wanted it too. I had some dead skin shed off but not a lot. I left it on for an hour (recommended time was 60-90 min) so maybe I should have left it on longer. Not a horrible product for the price but not really worth it,2,real_product,0
"I recently tried the new tropical sunscreen that everyone was raving about but unfortunately it was a huge letdown. The first time I applied it, it felt smooth and pleasant on my skin but that was where the positives ended. Less than an hour later I could already start to feel it breaking down and losing its effectiveness, even after reapplying as instructed. When I checked my progress with a spray tan machine in a store, I was shocked to see how uneven and patchy my coverage was, with large areas completely lacking protection. Additionally, the smell it left on my skin was overpowering and lingered long after I showered. For the price I paid, I expected a lot better performance and coverage from a product that claims to be top of the line. Needless to say, I will not be purchasing this product again.",1,sunscreen,1
Really like this one I've tried a few different ones it works the best.,5,real_product,0
This little pony looks great. The curls are well designed and the colors matched perfectly. I got the 1b 30 blend. However the comb attachments are very week and does not grip the hair well. You will definitely need to secure this piece with hair pens. My ponytail nearly fell off at an inopportune moment:) can't beat the price so I'll just work with it,3,real_product,0
"I've been using this deodorant for a few months now and I'm really impressed. It's done wonders for my sweat and odor issues, especially after working out or during hot summer days. The scent is neutral and not overpowering, which I prefer. It's also easy to apply and doesn't cause any irritation or rash like some of the other deodorants I've tried in the past.  I've tried other natural and organic deodorants in the past but they didn't work as well, so it's great to have found this one that gets the job done without any harsh chemicals. I'll be repurchasing this as soon as I run out.",5,deodorant,1
Love it been poking for one like this and I really can’t get enough of it,5,real_product,0
"I am thoroughly impressed with the hair straightener I recently purchased, it glides through my hair with ease and leaves my locks looking silky smooth and perfectly straight, the ceramic plates heat evenly and the ionic technology helps to minimize frizz and add shine to my hair.",2,hair straightener,1
