text,rating,product_topic,label_ai_generated
helps when I don't want to use a shaper!,5,real_product,0
"It was everything I hoped it would be, works great and was mailed out quickly. Will use seller again.",5,real_product,0
I received my product broken! Very sad about this! The end of the tube was crushed and the tint was flowing out of it.,1,real_product,0
This is a cute fun way to add to the decor along with help to keep any kind of hair accessory hidden in plain site without creating a messy look. It’s also budget friendly!,5,real_product,0
"Not gonna lie, these hair extensions exceeded my expectations and the quality is surprisingly fantastic for the price.",4,hair extensions/wigs,1
"This product was very easy to use and left my feet moisturized for much longer than any pedicure. The next day, they still felt moisturized, even after showering.",5,real_product,0
"Got this mainly after reading the detailed reviews here on Amazon.<br />The balm works as specified.<br />I applied it on the balls with gloves and left it for 12 mins, removed it in a gentle message fashion using my fingers, as specified and all the hair came off effortlessly. Took shower, dried myself and applied calm balm immediately. Nothing negative to say for now.",5,real_product,0
Just what I was looking for - cotton hair towels.  All the ones in the stores are microfiber.  These are a great size and weight to twist up your hair after a shower.,5,real_product,0
Love this hair soo much. I couldn't find any ombre braiding hair like this in stores. It matched my real ombre hair perfectly.,5,real_product,0
"The deodorant I'm reviewing arrived in an eco-friendly packaging that was a great selling point for me, however, the cardboard box was a bit flimsy and I had to be careful not to crush it. I've been using this deodorant for a week now and I can say",4,deodorant,1
"No se queda en los labios se quita luego luego, after a couple minute with my saliva go all around my mouth my tounge and tooth. Horrible product",1,real_product,0
"This moisturizer is a great value for the price, delivering decent hydration without breaking the bank.",3,facial moisturizer,1
I guess I wasn't too surprised because of the cost of this heat cap.you have to be very careful not to over heat it in the microwave and it's not quite big enough but it'll work.,3,real_product,0
"I’ve tried 4-5 different kinds of headbands and finally found a wide enough band to keep my ever-growing hair out of my face when I’m exercising that’s also discreet and comfortable. Not only that, but my hair even feels better when I take it off. I immediately ordered another set of these after the first time I used them.",5,real_product,0
"Didn't work at all, it was crap and shouldn't be sold on amazon.  I want my money back but I think that it has been to long to get my money back",1,real_product,0
Didn’t really work the way I wanted it too. I had some dead skin shed off but not a lot. I left it on for an hour (recommended time was 60-90 min) so maybe I should have left it on longer. Not a horrible product for the price but not really worth it,2,real_product,0
"These face masks provide excellent calming properties, leaving my skin feeling silky smooth and reducing redness effectively.",5,face masks,1
Really like this one I've tried a few different ones it works the best.,5,real_product,0
This little pony looks great. The curls are well designed and the colors matched perfectly. I got the 1b 30 blend. However the comb attachments are very week and does not grip the hair well. You will definitely need to secure this piece with hair pens. My ponytail nearly fell off at an inopportune moment:) can't beat the price so I'll just work with it,3,real_product,0
"""I just found a decent beard maintenance system with this grooming kit, pretty happy so far.""",4,beard/mustache grooming kit,1
Love it been poking for one like this and I really can’t get enough of it,5,real_product,0
"I have to say, the natural curl of these lashes really is something, it stays that way even after hours of wear so I was thinking to myself why they're so good at holding that curve and it's because of the quality of the material.",4,false eyelashes,1
"Excellent delivery time, the Kerastase hair straightening iron arrived swiftly and efficiently, now my hair has a lovely smooth finish.",2,hair styling tools,1
Perfect length! Quality and amount is way better than I had expected to be paying for! I am excited to design my nails!,5,real_product,0
"I purchased this hair straightener for myself as a gift from my sister and immediately noticed how its ceramic plates glided effortlessly through my thick and curly hair without causing any damage or heat burns.  This hair straightener is an absolute game-changer, it heats up incredibly fast, and the digital temperature",5,hair straightener,1
I bought this sunscreen for myself and it provided excellent protection against the sun's harsh rays throughout the day.,5,sunscreen,1
"This serum's supposed anti-aging properties failed to deliver, left my wrinkles looking the same after two weeks.",1,skincare serum,1
"The best, wish they still sold it. My SCALP in particular loved it.",5,real_product,0
These headbands stay in place even on slick hair.,5,real_product,0
Love the lavender smell.. mixed this with a few other oils and created my own Hair Oil.,5,real_product,0
Face masks seem to be more of a gimmick than an effective skincare solution. They don't really address deep-seated issues and can be messy. 2 stars.,2,face masks,1
"This kit does the job but the balm is super greasy, it gets all over the place.",2,beard/mustache grooming kit,1
It does stay cool for a few hours but if you sleep on it then it actually heats up.  Another thing that is annoying is the gel moves to one side of the pad so you have to smash it out once in a while.  It does this after being either laid upon or if you have it upright against your back. I think it needs individual stitched squared for the gel so it doesn't move around as much.  Works ok for the price but doesn't keep me cool enough at night like I wanted.,3,real_product,0
"I bought these makeup brushes for myself as I've always been a fan of high-quality, natural-fiber brushes and the first thing I noticed about this set is that the bristles are incredibly soft to the touch. The brushes are well-made with durable handles and the bristles hold their shape well even",4,makeup brushes,1
"Amazing value for the price, these false eyelashes are super easy to apply and last all day.",4,false eyelashes,1
"Comparable to its pricey counterpart, this serum offers decent hydration and a smooth texture, albeit not as effective in evening out skin tone.",3,skincare serum,1
Color doesn't last. But it looks great when you do have it on.,3,real_product,0
I do not recommend this product to anybody  really bad quality .👎👎👎👎👎,1,real_product,0
